XCY.F,OPKO HEALTH
DWNI.F,DEUTSCHE WOHNEN
UWP.F,ZAPOROZHSTL SPGDR-S
VSCJ.F,4SC E15
ZMR1.F,RED TIGER MNG
A34.F,TRECORA RESOURCES 
MIE1.F,MITSUBISHI ELECTRIC
MPLN.F,MAGELLAN PETROLEUM
22Z.F,ZEALAND PHARMA
NZE.F,ZEON 
58I.F,INTREPID POTASH
ZJS1.F,JINKOSOLAR SP ADR
CXR.F,CSX
1JT.F,TSUI WAH HLDGS
0H2.F,HITACHI MAXELL
XTL.F,ANOTO GROUP
YMK.F,AZBIL
E4R.F,EAGLE ROCK ENGY
1R3.F,ROKA BIOSCIENCE
YV4.F,RCR TOMLINSON
XM8.F,CLEAR MEDIA
NHL.F,NIELSEN HLD
YSVA.F,REVLTN LIGHT TECHN
QNC1.F,BONTERRA ENERGY
JMI.F,DEEP YELLOW
3T4.F,TERADATA
ZSL.F,SOLAR CAPITAL
MBI.F,MITSUBISHI CORP
WHL.F,WHEELOCK & CO
AOC.F,ALUM CORP OF CN -H-
NI3.F,NICHIREI
V7N.F,ADITYA BIRLA MINE
OM4.F,OSISKO GOLDROYAL
WUG.F,WESTAG & GETALIT
0C2.F,CHUBU EL
W7L.F,ADP
YRS.F,IBERIAN MINERAL
JP1.F,JAKKS PAC
WTB3.F,WALTER BAU VZ
D3N.F,YUEXIU REIT
KY6.F,INTERACTIVE BRKRS-A
RNY.F,YAMANA GOLD
YGL.F,GOLDEN VALLEY MINES
M4D.F,MWI VETERINARY SUPP
OPA.F,ORPEA
WIC.F,WEC ENERGY GROUP
JT4.F,MARIANA RESOURCES
SYE.F,SYNTEL
OF1.F,BRISTOW GROUP
H0H.F,HMS SP GDR REG-S
ZGV.F,GEVO
Q86.F,MEETME
RDEC.F,REED ELSVIER SP ADR
WHR.F,WHIRLPOOL
4H6.F,HULAMIN
UI5.F,PROGRESSIVE WASTE
RGV.F,REGUS
DOD.F,DOMINION RES
KAP.F,KANSAI PAINT
WOA.F,WORLD ACCEPTANCE
VH1.F,VIETNAM HOLD
TCS.F,TASER INTL
JLT.F,JAR LLOYD THOMP GRP
ODDB.F,ATRIUM EURO REAL 
IPHB.F,IMPALA PLAT HDGS
GZ3.F,YUEXIU TRANSPOR
QPL.F,QPL INTL
I93A.F,INDORAMA VEN NVDR
LL6.F,MTN GROUP
OUW.F,CAPSTONE MINING
EFI.F,ELECTRS FOR IMAGING
"NTT.F,NIPPON TEL&TEL;"
M6Q.F,OUTOTEC
